[28/06/2015 08:10:18] /addskill hyuuga, fist 10
[28/06/2015 08:10:21] /addskill hyuuga, fist 10
[28/06/2015 08:10:23] /addskill hyuuga, fist 20
[28/06/2015 08:10:28] /addskill hyuuga, fist 50
[28/06/2015 08:10:29] /addskill hyuuga, fist 50
[28/06/2015 08:10:29] /addskill hyuuga, fist 50
[28/06/2015 08:10:30] /addskill hyuuga, fist 50
[28/06/2015 08:10:30] /addskill hyuuga, fist 50
[28/06/2015 08:10:31] /addskill hyuuga, fist 50
[28/06/2015 08:10:31] /addskill hyuuga, fist 50
[28/06/2015 08:10:32] /addskill hyuuga, fist 50
[28/06/2015 08:10:32] /addskill hyuuga, fist 50
[28/06/2015 08:10:33] /addskill hyuuga, fist 50
[28/06/2015 08:10:33] /addskill hyuuga, fist 50
[28/06/2015 08:10:34] /addskill hyuuga, fist 50
[28/06/2015 08:10:34] /addskill hyuuga, fist 50
[28/06/2015 08:10:35] /addskill hyuuga, fist 50
[28/06/2015 08:10:35] /addskill hyuuga, fist 50
[28/06/2015 08:10:36] /addskill hyuuga, fist 50
[28/06/2015 08:10:36] /addskill hyuuga, fist 50
[28/06/2015 08:10:37] /addskill hyuuga, fist 50
[28/06/2015 08:10:37] /addskill hyuuga, fist 50
[28/06/2015 08:10:38] /addskill hyuuga, fist 50
[28/06/2015 08:10:39] /addskill hyuuga, fist 50
[28/06/2015 08:10:40] /addskill hyuuga, fist 50
[28/06/2015 08:13:18] /addskill
